DirectDonation Greedy CyclesAndChains  GreedyWithPreprocessing CyclesAndChainsWithPreprocessing
17 26 29  25 29
20 28 29  27 28
19 29 30  27 30
20 26 28  22 26
21 28 29  29 29
21 28 27  25 28
19 27 28  25 28
17 28 29  21 28
14 27 27  24 28
17 29 30  27 29
19 26 30  25 27
17 25 30  21 30
15 24 27  23 27
18 28 29  24 29
19 29 28  28 29
16 25 27  24 27
23 29 29  27 29
13 23 26  23 25
19 26 29  23 28
18 26 28  26 27
17 27 28  25 28
18 28 29  26 30
16 23 27  22 28
14 27 29  26 29
13 23 26  21 27
17 27 28  23 26
14 25 28  24 29
20 29 29  26 29
15 24 26  21 26
16 28 30  28 29
18 25 29  22 28
16 27 27  26 27
15 30 29  25 29
12 26 29  22 28
19 27 29  25 29
19 27 30  25 29
15 28 28  25 29
16 25 27  24 27
21 29 30  27 29
16 23 25  22 25
19 25 28  23 27
19 28 29  27 29
16 25 29  24 30
24 30 30  24 29
17 27 28  26 27
17 28 28  26 27
19 28 30  25 29
17 30 30  27 29
21 26 28  28 30
21 27 28  27 27
21 24 28  23 28
15 24 27  25 28
20 26 30  26 29
17 28 30  27 30
16 28 29  28 30
21 26 28  24 27
13 23 26  23 26
17 28 29  26 28
17 26 30  25 29
17 22 26  22 26
24 30 30  28 29
19 26 28  23 27
19 24 28  23 27
15 28 29  25 27
18 25 28  23 28
21 29 30  28 30
18 23 28  24 26
16 26 28  26 28
18 27 29  26 29
18 27 29  27 29
17 22 25  21 26
23 26 27  25 27
15 25 27  21 26
18 27 28  26 27
14 28 27  24 27
21 28 29  25 29
21 27 29  26 27
20 25 26  26 26
19 26 29  25 29
19 26 29  25 28
12 24 30  20 28
22 29 30  28 30
16 25 28  25 26
19 26 28  24 29
19 27 28  26 29
16 27 29  26 28
17 29 30  27 29
23 30 30  29 30
18 28 30  28 29
18 24 27  22 25
18 25 29  25 27
18 27 28  28 29
14 25 28  24 28
19 27 29  23 29
16 25 29  26 29
21 27 30  25 30
18 28 30  28 30
17 27 30  27 30
21 28 29  25 28
14 26 28  22 24

AVERAGE
17.82 26.53 28.46  24.92 28.06
