DirectDonation Greedy CyclesAndChains  GreedyWithPreprocessing CyclesAndChainsWithPreprocessing
14 25 28  25 27 
21 29 29  27 29 
15 28 29  27 29 
22 29 29  30 30 
18 27 29  28 29 
16 25 28  22 29 
18 28 29  26 28 
19 26 28  23 26 
17 29 30  25 28 
21 29 30  29 30 
18 24 26  22 27 
20 27 26  24 27 
17 26 29  23 28 
15 21 27  19 26 
12 24 26  24 27 
17 27 29  27 29 
18 27 29  24 29 
21 28 29  27 29 
22 30 29  28 30 
19 26 29  26 29 
19 29 29  26 28 
20 29 30  29 28 
15 30 30  29 30 
20 27 29  26 29 
10 19 26  20 25 
20 29 29  24 28 
23 28 28  29 29 
16 28 29  26 29 
15 24 28  21 28 
14 24 27  24 28 
19 28 30  27 29 
20 25 27  22 26 
21 30 30  27 29 
18 28 29  24 28 
18 27 29  24 28 
21 29 30  30 28 
19 21 27  19 26 
17 28 29  25 28 
15 24 28  26 28 
21 29 28  29 29 
18 23 28  20 27 
18 30 28  29 29 
17 25 27  23 26 
17 23 29  23 27 
22 29 29  26 28 
20 28 30  26 29 
17 28 29  25 28 
20 27 29  25 28 
16 27 28  24 28 
21 29 28  27 29 
13 25 30  23 29 
22 30 30  28 30 
16 26 28  24 27 
19 27 29  25 28 
19 29 28  28 28 
19 30 30  29 28 
19 28 28  27 28 
14 26 28  26 30 
18 27 29  27 29 
11 23 27  21 28 
17 27 29  23 28 
16 26 29  26 29 
15 20 24  20 24 
17 27 29  23 28 
19 25 27  24 26 
15 24 29  23 28 
13 27 29  25 29 
15 26 26  23 26 
18 25 29  24 28 
17 28 29  27 28 
17 27 28  25 29 
17 24 27  23 27 
17 23 26  21 25 
22 28 30  26 29 
17 29 29  29 30 
20 26 28  26 28 
20 29 29  28 29 
20 28 29  28 29 
20 24 27  24 27 
19 25 28  25 28 
25 28 29  28 28 
14 23 28  23 29 
18 26 29  25 28 
14 28 29  24 29 
19 26 27  25 26 
22 27 28  26 28 
22 28 29  24 28 
21 26 29  25 29 
15 25 28  21 26 
21 26 30  25 30 
19 28 30  25 30 
17 25 28  23 28 
18 27 28  27 28 
16 25 26  25 27 
23 28 29  27 28 
21 29 29  27 28 
14 29 30  24 28 
22 28 30  24 29 
18 27 29  27 27 
17 27 28  24 28 

AVERAGE
18.04 26.65 28.46  25.11 28.08
